泉东(二)小区 ,1室0厅,31.7平米,南,简装,中楼层(共6层),浦东,420,"132,493元/平"
乾耀东港 ,3室2厅,155.15平米,南,精装,高楼层(共5层),浦东,410,"26,427元/平"
浦三小区 ,2室1厅,74.16平米,南,简装,中楼层(共6层),浦东,430,"57,983元/平"
锦福苑 ,3室1厅,89.64平米,南,简装,中楼层(共6层),浦东,313,"34,918元/平"
新沪东公寓 ,2室1厅,94.37平米,南,简装,低楼层(共13层),浦东,680,"72,057元/平"
美林小城 ,3室2厅,111.92平米,南,精装,中楼层(共11层),浦东,655,"58,524元/平"
地杰国际城D街坊 ,2室2厅,84.8平米,南,简装,低楼层(共27层),浦东,640,"75,472元/平"
海尚康庭 ,2室1厅,73.36平米,南 北,精装,低楼层(共6层),浦东,349,"47,574元/平"
昌七小区 ,2室1厅,65平米,南,精装,高楼层(共7层),浦东,445,"68,462元/平"
和憬家园 ,4室3厅,162.3平米,南,简装,高楼层(共8层),浦东,860,"52,989元/平"
上南六村 ,2室0厅,52.78平米,南,精装,中楼层(共6层),浦东,400,"75,787元/平"
环镇东路99弄 ,2室1厅,95.06平米,南,精装,中楼层(共6层),浦东,258,"27,141元/平"
华天小区 ,3室1厅,81.2平米,南,精装,低楼层(共6层),浦东,330,"40,641元/平"
桃林一小区 ,1室1厅,50.08平米,南,简装,中楼层(共7层),浦东,585,"116,814元/平"
云树仁居 ,2室1厅,64.22平米,南 北,精装,中楼层(共6层),浦东,148,"23,046元/平"
金钻苑南区 ,3室2厅,131.25平米,南,简装,中楼层(共6层),浦东,540,"41,143元/平"
金恒小区 ,2室2厅,77.28平米,南,精装,高楼层(共6层),浦东,505,"65,347元/平"
金杨七街坊 ,2室1厅,68.03平米,南,简装,高楼层(共6层),浦东,415,"61,003元/平"
博山小区 ,2室1厅,61.8平米,南,简装,中楼层(共6层),浦东,455,"73,625元/平"
云树仁居 ,2室1厅,64.22平米,南 北,精装,中楼层(共6层),浦东,148,"23,046元/平"
地杰国际城D街坊 ,2室2厅,84.8平米,南,简装,低楼层(共27层),浦东,640,"75,472元/平"
新沪东公寓 ,2室1厅,94.37平米,南,简装,低楼层(共13层),浦东,680,"72,057元/平"
美林小城 ,3室2厅,111.92平米,南,精装,中楼层(共11层),浦东,655,"58,524元/平"
锦福苑 ,3室1厅,89.64平米,南,简装,中楼层(共6层),浦东,313,"34,918元/平"
宁阳小区 ,2室1厅,51.29平米,南,简装,高楼层(共6层),浦东,370,"72,139元/平"
地杰国际城D街坊 ,3室2厅,106.82平米,南,毛坯,高楼层(共18层),浦东,800,"74,893元/平"
海尚康庭 ,2室1厅,73.36平米,南 北,精装,低楼层(共6层),浦东,349,"47,574元/平"
峨海小区 ,1室1厅,50.96平米,南,精装,高楼层(共6层),浦东,438,"85,950元/平"
香山新村西北街坊 ,2室1厅,60.45平米,南,精装,高楼层(共6层),浦东,430,"71,134元/平"
艾东小区 ,2室1厅,61.36平米,南 北,精装,低楼层(共6层),浦东,425,"69,264元/平"
凌港城 ,2室2厅,85.69平米,南 北,精装,中楼层(共6层),浦东,293,"34,194元/平"
听潮一村 ,3室1厅,62.49平米,南 北,精装,中楼层(共6层),浦东,175,"28,005元/平"
康桥宝邸 ,2室1厅,75.12平米,南 北,精装,低楼层(共6层),浦东,375,"49,921元/平"
上南七村 ,1室1厅,35.91平米,南,精装,高楼层(共6层),浦东,245,"68,227元/平"
宜浩佳园 ,2室2厅,82.65平米,南,简装,高楼层(共4层),浦东,250,"30,249元/平"
莱阳北小区 ,1室1厅,45.24平米,南,简装,高楼层(共6层),浦东,265,"58,577元/平"
杉林新月环林东路799弄 ,1室1厅,52.01平米,南,简装,低楼层(共6层),浦东,335,"64,411元/平"
东绣苑 ,2室1厅,74.62平米,南,精装,中楼层(共15层),浦东,425,"56,956元/平"
锦南浦三小区 ,1室1厅,38.71平米,南,简装,高楼层(共6层),浦东,243,"62,775元/平"
欣梅苑 ,2室2厅,93.97平米,南 北,精装,高楼层(共6层),浦东,235,"25,008元/平"
绿缘新村 ,2室1厅,75.01平米,南,精装,高楼层(共6层),浦东,180,"23,997元/平"
昌七小区 ,1室1厅,45.06平米,南,简装,高楼层(共6层),浦东,291,"64,581元/平"
新德佳苑 ,1室1厅,57.58平米,南,简装,低楼层(共6层),浦东,285,"49,497元/平"
丽水雅苑北苑 ,2室1厅,71.05平米,南 北,精装,中楼层(共18层),浦东,229,"32,231元/平"
妙城公寓 ,3室2厅,127.68平米,南,精装,低楼层(共7层),浦东,570,"44,643元/平"
明丰佳园 ,2室1厅,52.44平米,南,简装,高楼层(共6层),浦东,390,"74,371元/平"
齐友佳苑 ,1室1厅,59.64平米,南,简装,中楼层(共14层),浦东,330,"55,332元/平"
齐友佳苑 ,1室1厅,59.64平米,南,简装,中楼层(共14层),浦东,330,"55,332元/平"
明丰佳园 ,2室1厅,52.44平米,南,简装,高楼层(共6层),浦东,390,"74,371元/平"
荡湾新村 ,2室1厅,50.76平米,南,简装,中楼层(共5层),浦东,148,"29,157元/平"
东方城市花园(二期) ,3室2厅,151.93平米,南,精装,低楼层(共24层),浦东,1330,"87,541元/平"
大华锦绣华城(一街区) ,1室2厅,58.01平米,南,毛坯,低楼层(共18层),浦东,472,"81,366元/平"
海洲桃花园一期 ,2室1厅,81.11平米,南,简装,低楼层(共11层),浦东,295,"36,371元/平"
上南九村 ,1室1厅,50.61平米,南,精装,高楼层(共24层),浦东,360,"71,133元/平"
银丰苑 ,2室1厅,84.51平米,南,简装,低楼层(共6层),浦东,360,"42,599元/平"
宁阳小区 ,2室1厅,57.58平米,南,简装,高楼层(共6层),浦东,396,"68,774元/平"
艾南小区 ,1室1厅,41.02平米,南,简装,高楼层(共6层),浦东,238,"58,021元/平"
三林世博家园(新浦路251弄) ,1室1厅,57.09平米,南,精装,高楼层(共6层),浦东,365,"63,935元/平"
樱花路89弄 ,1室1厅,56.9平米,南 北,简装,16层,浦东,607,"106,679元/平"
源城锦翠苑 ,2室1厅,54.99平米,南,精装,高楼层(共6层),浦东,490,"89,108元/平"
胶南小区 ,2室1厅,46.52平米,南,简装,高楼层(共6层),浦东,313,"67,283元/平"
潍坊三村 ,1室0厅,30.08平米,南,精装,中楼层(共5层),浦东,290,"96,410元/平"
潍坊二村 ,2室0厅,48.74平米,南 北,精装,高楼层(共6层),浦东,410,"84,120元/平"
沪南船舶小区 ,1室1厅,48.57平米,南,精装,高楼层(共6层),浦东,320,"65,885元/平"
西邱小区 ,2室1厅,50.66平米,南 北,简装,低楼层(共6层),浦东,375,"74,023元/平"
书院一号公寓 ,1室1厅,71.31平米,南 北,精装,中楼层(共13层),浦东,162,"22,718元/平"
新生小区 ,2室1厅,81.12平米,南,精装,中楼层(共5层),浦东,258,"31,805元/平"
中惠广场 ,1室1厅,52.65平米,西北,简装,中楼层(共19层),浦东,210,"39,887元/平"
海霞佳苑 ,1室1厅,55.79平米,南,毛坯,中楼层(共6层),浦东,190,"34,057元/平"
凌兆新村(上浦路202弄) ,1室1厅,67.74平米,南,简装,高楼层(共6层),浦东,410,"60,526元/平"
环庆新苑 ,1室1厅,49.08平米,南,精装,中楼层(共6层),浦东,180,"36,675元/平"
德州七村 ,2室1厅,45.31平米,南,精装,高楼层(共6层),浦东,299,"65,990元/平"
巨杨小区 ,1室1厅,35.7平米,南,精装,中楼层(共6层),浦东,410,"114,846元/平"
南泉小区 ,1室0厅,34.51平米,南,简装,高楼层(共6层),浦东,248,"71,864元/平"
德州六村 ,1室1厅,40.65平米,南,精装,中楼层(共6层),浦东,285,"70,111元/平"
三林世博家园(板泉路2000弄) ,1室1厅,55.82平米,南,简装,低楼层(共11层),浦东,328,"58,761元/平"
绿茵苑(浦东) ,2室2厅,75.52平米,南,精装,高楼层(共6层),浦东,475,"62,898元/平"
巨杨小区 ,1室1厅,35.7平米,南,简装,高楼层(共6层),浦东,385,"107,844元/平"
成山小区 ,2室1厅,54.77平米,南,简装,高楼层(共6层),浦东,318,"58,061元/平"
南新东园 ,2室1厅,78.56平米,南,简装,高楼层(共6层),浦东,402,"51,172元/平"
环庆新苑 ,2室2厅,66.01平米,南 北,精装,高楼层(共6层),浦东,245,"37,116元/平"
南新二村 ,2室1厅,72.94平米,南,简装,高楼层(共6层),浦东,390,"53,469元/平"
牡丹小区(浦东) ,3室1厅,86.8平米,南,简装,低楼层(共6层),浦东,799,"92,051元/平"
崮山小区一街坊 ,1室1厅,45.73平米,南,精装,高楼层(共6层),浦东,500,"109,338元/平"
绿地东岸涟城 ,2室1厅,82.74平米,南 北,毛坯,中楼层(共5层),浦东,235,"28,403元/平"
绿地东岸涟城 ,2室1厅,84.92平米,南,毛坯,中楼层(共11层),浦东,238,"28,027元/平"
心圆东苑 ,1室1厅,59.33平米,南,简装,低楼层(共15层),浦东,340,"57,307元/平"
东陆新村三街坊 ,3室1厅,80.8平米,南,简装,高楼层(共6层),浦东,480,"59,406元/平"
海洲桃花园一期 ,2室2厅,80.58平米,南 北,毛坯,低楼层(共11层),浦东,295,"36,610元/平"
莲中路250弄 ,2室1厅,69.69平米,南,精装,中楼层(共6层),浦东,460,"66,007元/平"
荡湾新村 ,2室1厅,51平米,南,精装,中楼层(共5层),浦东,145,"28,432元/平"
潼港二村 ,1室1厅,42.26平米,南,简装,高楼层(共6层),浦东,189,"44,724元/平"
汇郡米兰苑 ,1室1厅,64.89平米,南,简装,中楼层(共20层),浦东,355,"54,708元/平"
品华苑 ,2室1厅,76.88平米,南 北,毛坯,低楼层(共6层),浦东,480,"62,435元/平"
航运小区 ,2室1厅,57平米,南,简装,低楼层(共6层),浦东,390,"68,422元/平"
金巷小区 ,1室1厅,61.31平米,南,简装,低楼层(共24层),浦东,355,"57,903元/平"
德州七村 ,1室1厅,45.31平米,南,简装,高楼层(共6层),浦东,286,"63,121元/平"
滴水湖馨苑二期 ,3室2厅,88.71平米,南,简装,高楼层(共5层),浦东,338,"38,102元/平"
芳华路713弄 ,3室1厅,86.22平米,南,精装,高楼层(共6层),浦东,510,"59,152元/平"
陆家嘴锦绣里 ,3室2厅,115.99平米,东 南,毛坯,低楼层(共18层),浦东,1010,"87,077元/平"
香山新村东北街坊 ,2室1厅,63.98平米,南,简装,中楼层(共6层),浦东,399,"62,364元/平"
伟业金锦苑二村 ,3室2厅,97.2平米,南 北,简装,低楼层(共6层),浦东,730,"75,103元/平"
世华锦城 ,2室1厅,79.81平米,南 北,简装,中楼层(共6层),浦东,650,"81,444元/平"
京浦小区 ,2室1厅,50.11平米,南 北,精装,低楼层(共6层),浦东,400,"79,825元/平"
心圆西苑 ,2室2厅,77.59平米,南,简装,低楼层(共15层),浦东,445,"57,353元/平"
金杨新村十街坊 ,1室1厅,41.71平米,南,毛坯,中楼层(共6层),浦东,275,"65,932元/平"
巨西小区 ,1室1厅,40.61平米,南,简装,高楼层(共6层),浦东,395,"97,267元/平"
金杨新村十街坊 ,1室1厅,41.71平米,南,毛坯,中楼层(共6层),浦东,275,"65,932元/平"
东方滨港园 ,2室2厅,90.88平米,南 北,精装,中楼层(共6层),浦东,830,"91,330元/平"
